pedido_id,cliente_id,data_pedido,status,valor_total,canal_venda,cupom_desconto,segmento,canal_aquisicao,ano,mes_num,mes_nome,flag_cancelado,flag_devolvido
1,682,2024-05-18,em_transito,396.51,marketplace,True,B2C,redes_sociais,2024,5,Mai,0,0
2,7,2023-08-12,entregue,74.89,site,False,B2C,orgânico,2023,8,Ago,0,0
3,1195,2024-02-17,entregue,41.93,app,False,B2C,paid_search,2024,2,Fev,0,0
4,2328,2023-05-05,entregue,2001.85,app,True,B2C,indicação,2023,5,Mai,0,0
5,379,2024-10-04,entregue,1251.35,site,False,B2C,paid_search,2024,10,Out,0,0
6,2384,2024-08-14,entregue,1799.41,marketplace,True,B2C,redes_sociais,2024,8,Ago,0,0
7,1380,2023-03-26,entregue,2499.94,marketplace,False,B2C,indicação,2023,3,Mar,0,0
8,95,2024-08-26,entregue,571.22,marketplace,False,B2C,indicação,2024,8,Ago,0,0
9,2962,2024-04-01,entregue,240.35,site,True,B2C,paid_search,2024,4,Abr,0,0
10,2646,2023-09-23,entregue,1905.3,app,False,B2C,orgânico,2023,9,Set,0,0
11,75,2023-09-24,entregue,926.66,marketplace,True,B2C,redes_sociais,2023,9,Set,0,0
12,1692,2024-04-02,entregue,1449.64,app,False,B2C,indicação,2024,4,Abr,0,0
13,2884,2024-02-19,entregue,1798.8,app,True,B2C,orgânico,2024,2,Fev,0,0
14,1094,2023-01-17,cancelado,8316.59,site,True,B2B,redes_sociais,2023,1,Jan,1,0
15,565,2024-06-09,entregue,1924.63,app,False,B2C,orgânico,2024,6,Jun,0,0
16,1602,2024-06-27,entregue,202.97,app,True,B2C,indicação,2024,6,Jun,0,0
17,557,2024-01-03,em_transito,1046.62,marketplace,True,B2C,indicação,2024,1,Jan,0,0
18,1411,2023-01-18,entregue,263.91,site,False,B2C,paid_search,2023,1,Jan,0,0
19,2260,2023-04-20,cancelado,1064.12,marketplace,True,B2C,paid_search,2023,4,Abr,1,0
20,2587,2023-12-21,entregue,1673.93,marketplace,False,B2C,indicação,2023,12,Dez,0,0
21,130,2023-11-20,entregue,683.32,site,False,B2C,redes_sociais,2023,11,Nov,0,0
22,524,2024-06-18,entregue,103.17,site,False,B2C,redes_sociais,2024,6,Jun,0,0
23,720,2023-05-11,cancelado,2315.32,marketplace,False,B2C,indicação,2023,5,Mai,1,0
24,513,2023-11-29,em_transito,1796.87,app,True,B2C,redes_sociais,2023,11,Nov,0,0
25,1783,2023-08-18,em_transito,1892.18,marketplace,True,B2C,indicação,2023,8,Ago,0,0
26,1252,2023-05-28,entregue,570.34,app,False,B2C,redes_sociais,2023,5,Mai,0,0
27,104,2023-11-03,entregue,1806.37,app,False,B2C,paid_search,2023,11,Nov,0,0
28,2998,2023-06-02,entregue,8595.85,app,False,B2B,indicação,2023,6,Jun,0,0
29,1679,2023-06-17,cancelado,1881.15,app,True,B2C,orgânico,2023,6,Jun,1,0
