id,pedido_id,produto_id,quantidade,preco_praticado,desconto_aplicado,valor_liquido_item
1,1,133,4,2290.86,0.19,7422.39
2,1,64,3,723.06,0.21,1713.65
3,1,7,1,353.01,0.29,250.64
4,2,200,2,2504.74,0.0,5009.48
5,2,88,5,2829.32,0.03,13722.2
6,3,24,3,2912.52,0.01,8650.18
7,3,120,2,734.95,0.0,1469.9
8,3,183,5,325.02,0.04,1560.1
9,4,95,2,2921.91,0.01,5785.38
10,4,139,2,645.31,0.13,1122.84
11,5,49,3,2096.55,0.0,6289.65
12,6,145,3,2924.2,0.11,7807.61
13,7,11,4,1378.3,0.05,5237.54
14,8,24,2,2941.94,0.0,5883.88
15,9,113,3,329.76,0.25,741.96
16,9,114,1,661.08,0.25,495.81
17,10,178,2,1736.27,0.03,3368.36
18,11,115,5,2757.5,0.2,11030.0
19,12,20,5,2278.64,0.02,11165.34
20,13,107,1,2218.73,0.24,1686.23
21,13,176,4,607.04,0.21,1918.25
22,14,88,4,2158.45,0.26,6389.01
23,14,77,1,1331.46,0.15,1131.74
24,14,156,1,44.98,0.23,34.63
25,15,128,4,1311.94,0.02,5142.8
26,15,7,4,482.28,0.03,1871.25
27,15,160,5,2908.77,0.02,14252.97
28,16,91,1,2448.24,0.07,2276.86
29,16,71,2,486.78,0.3,681.49
30,16,172,3,2375.05,0.13,6198.88
31,16,94,3,2326.28,0.12,6141.38
32,16,137,3,107.74,0.26,239.18
33,17,122,5,763.65,0.01,3780.07
34,17,63,3,2475.97,0.17,6165.17
35,17,54,4,2849.67,0.14,9802.86
36,18,59,1,613.31,0.05,582.64
37,19,164,5,1569.97,0.28,5651.89
38,19,144,3,446.65,0.28,964.76
39,20,70,5,1176.79,0.0,5883.95
40,20,186,1,2165.33,0.0,2165.33
41,21,9,2,2623.98,0.02,5143.0
42,22,92,5,2025.73,0.01,10027.36
43,22,182,4,984.75,0.05,3742.05
44,23,52,1,1116.78,0.05,1060.94
45,23,19,3,929.91,0.01,2761.83
46,24,84,4,1671.03,0.19,5414.14
47,24,176,3,637.78,0.17,1588.07
48,25,158,1,1837.58,0.04,1764.08
49,25,195,4,96.27,0.25,288.81
50,25,118,5,2517.24,0.16,10572.41
51,26,45,5,467.58,0.05,2221.0
52,26,79,2,361.44,0.02,708.42
53,26,114,3,863.81,0.02,2539.6
54,26,50,4,2851.81,0.04,10950.95
55,26,96,2,1536.74,0.01,3042.75
56,27,77,2,1550.76,0.01,3070.5
57,27,47,2,1515.99,0.02,2971.34
58,27,174,4,1160.4,0.03,4502.35
59,27,32,2,355.06,0.04,681.72
60,28,34,2,1365.1,0.0,2730.2
61,28,9,1,2623.98,0.02,2571.5
62,29,130,2,589.92,0.09,1073.65
63,29,65,4,1956.35,0.27,5712.54
64,30,39,1,175.47,0.03,170.21
65,30,162,3,233.7,0.05,666.04
66,31,132,2,3168.67,0.01,6273.97
67,31,143,4,1458.36,0.01,5775.11
68,31,21,1,1118.83,0.03,1085.27
69,31,124,5,2088.87,0.05,9922.13
70,32,185,4,932.67,0.03,3618.76
71,32,99,2,3046.58,0.05,5788.5
72,32,169,2,351.51,0.03,681.93
73,33,198,2,1461.2,0.05,2776.28
74,33,14,2,2357.61,0.02,4620.92
75,33,105,3,954.26,0.02,2805.52
76,34,136,2,1283.77,0.11,2285.11
77,34,50,1,2495.34,0.16,2096.09
78,35,94,3,2537.76,0.04,7308.75
79,36,76,5,649.52,0.01,3215.12
80,36,151,4,693.88,0.04,2664.5
81,36,8,2,1199.73,0.01,2375.47
82,36,34,4,1337.8,0.02,5244.18
83,37,166,3,1359.63,0.01,4038.1
84,37,4,3,3398.15,0.02,9990.56
85,37,56,2,2110.98,0.05,4010.86
86,38,108,1,1070.35,0.04,1027.54
87,38,97,4,1004.96,0.05,3818.85
88,38,137,5,141.22,0.03,684.92
89,38,1,2,1604.15,0.01,3176.22
90,39,177,2,527.58,0.08,970.75
91,39,170,4,957.26,0.29,2718.62
92,39,145,2,2595.64,0.21,4101.11
93,39,193,4,1598.07,0.02,6264.43
94,39,113,5,338.55,0.23,1303.42
95,40,64,5,677.3,0.26,2506.01
96,40,32,2,273.69,0.26,405.06
97,40,162,2,204.18,0.17,338.94
98,40,8,5,969.48,0.2,3877.92
99,41,157,1,666.98,0.03,646.97
100,41,40,4,454.44,0.0,1817.76
101,42,145,2,3252.76,0.01,6440.46
102,42,88,1,2829.32,0.03,2744.44
103,43,150,3,2522.34,0.05,7188.67
104,43,184,2,2808.19,0.12,4942.41
105,43,25,2,1024.33,0.19,1659.41
106,44,17,4,3270.84,0.01,12952.53
107,44,115,1,3309.0,0.04,3176.64
108,45,47,4,1485.05,0.0,5940.2
109,46,72,1,816.16,0.04,783.51
110,46,15,5,1371.47,0.04,6583.06
111,46,82,2,3170.25,0.03,6150.28
